,Answer,inn_act,novelty,inn_prod,size,climate,age,competition,technologe_acq,RD,market,novelty_tech,marketing_inn,organizational_inn,main_ag,Int_property,boss_experience,papers,wifi,MBA,passport,mortgage,green,Type
0,1,0.0,0.0,0.0,4.0,7.0,35.0,3,1,0.46,2,0.0,1.0,0,1.0,0,0,0,0,0,18.8,7.1,1,2
1,1,0.0,0.0,0.0,6.0,8.0,64.0,1,0,0.14,1,0.0,1.0,1,1.0,1,0,79,0,0,19.6,15.7,2,2
2,1,1.0,0.24,0.78,3.0,8.0,26.0,2,0,0.03,1,4.85,1.0,0,1.0,0,1,110,0,0,26.4,9.6,1,1
3,0,0.0,0.0,0.0,5.0,2.0,55.0,3,0,0.16,1,0.0,0.0,0,1.0,0,0,0,0,0,52.6,18.1,1,4
4,1,1.0,0.18,0.91,5.0,5.0,43.0,3,1,0.6,3,0.73,1.0,1,3.0,1,1,0,0,0,8.3,13.4,3,1
5,1,1.0,0.16,0.74,7.0,10.0,64.0,3,0,0.6,5,0.09,1.0,0,1.0,1,1,42,0,0,13.8,3.6,2,1
6,0,0.0,0.0,0.0,6.0,3.0,36.0,1,0,0.0,1,0.0,1.0,0,1.0,1,0,0,0,0,67.2,0.9,2,4
7,1,1.0,0.07,0.85,7.0,6.0,47.0,3,0,0.42,4,73.8,0.0,0,3.0,1,1,117,0,0,29.7,5.9,4,1
8,0,1.0,0.08,0.2,7.0,1.0,61.0,1,0,0.53,2,49.98,0.0,0,1.0,0,1,26,0,1,60.7,7.1,1,3
9,1,0.0,0.0,0.0,2.0,8.0,71.0,3,0,0.52,1,0.0,1.0,0,1.0,1,0,0,1,0,24.8,13.6,2,2
10,0,0.0,0.0,0.0,6.0,0.0,63.0,5,0,0.0,1,0.0,0.0,0,1.0,1,0,104,0,0,59.8,1.6,1,4
11,0,0.0,0.0,0.0,5.0,4.0,33.0,5,0,0.0,1,0.0,1.0,1,1.0,0,0,116,1,0,54.4,9.1,2,4
12,0,0.0,0.0,0.0,7.0,3.0,54.0,2,0,0.41,1,0.0,0.0,0,1.0,1,0,0,0,0,26.3,12.0,1,4
13,0,0.0,0.0,0.0,2.0,0.0,45.0,3,0,0.39,1,0.0,0.0,0,1.0,1,0,0,0,0,28.8,6.9,2,4
14,0,1.0,0.03,0.22,8.0,4.0,50.0,5,0,0.25,1,37.75,0.0,0,1.0,0,1,0,0,0,43.0,13.4,2,3
15,0,1.0,0.12,0.44,3.0,7.0,57.0,1,0,0.49,2,29.7,1.0,1,1.0,0,1,73,0,0,25.1,13.4,2,3
